agent_id,agent_type,hyperparams,num_episodes (train),avg return train,stdev return train,max return train,execution time (sec) train,VRAM usage (GB) train,Energy usage (J) train,num_episodes (eval),avg return eval,stdev return eval,max return eval,execution time (sec) eval,VRAM usage (GB) eval,Energy usage (J) eval,p_val_return_eval_>,W-statistic_return_eval
random,random,{},3000.0,-181.953,110.021,80.217,620.096,1.824,961.268,30.0,-191.361,112.922,42.451,0.849,0.0,27.123,0.5,0.0
GPQ (SVGP),gpq_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'thompson_sampling', 'posterior_observation_noise': False, 'num_inducing_points': 512, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': None, 'mean_type': 'constant'}]}",3000.0,-110.67,121.799,269.632,9568.53,2.842,645858.019,30.0,-103.045,95.529,198.378,47.612,-0.01,1770.404,0.0,4.12
GPQ (DGP),gpq_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'thompson_sampling', 'posterior_observation_noise': False, 'num_inducing_points': 128, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': None, 'mean_type': 'constant'}]}",3000.0,,,,,,,30.0,120.626,130.545,277.088,256.436,0.114,12016.906,0.0,10.52
GPSARSA (DGP),gpsarsa_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'thompson_sampling', 'posterior_observation_noise': False, 'num_inducing_points': 128, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': None, 'mean_type': 'constant'}]}",,,,,,,,30.0,-166.519,108.217,-64.578,78.984,0.044,4848.289,0.065,1.511
DQN (MLP),sb_dqn,"{'policy': 'MlpPolicy', 'learning_rate': 0.00063, 'batch_size': 128, 'buffer_size': 50000, 'learning_starts': 0, 'gamma': 0.99, 'target_update_interval': 250, 'train_freq': 4, 'gradient_steps': -1, 'exploration_fraction': 0.12, 'exploration_final_eps': 0.1, 'policy_kwargs': {'net_arch': [256, 256]}}",,,,,,,,30.0,-404.085,504.183,-87.962,0.936,0.0,59.5,0.994,-2.509
DQN (Linear),sb_dqn,"{'policy': 'MlpPolicy', 'learning_rate': 0.00063, 'batch_size': 128, 'buffer_size': 50000, 'learning_starts': 0, 'gamma': 0.99, 'target_update_interval': 250, 'train_freq': 4, 'gradient_steps': -1, 'exploration_fraction': 0.12, 'exploration_final_eps': 0.1, 'policy_kwargs': {'net_arch': []}}",,,,,,,,30.0,-542.129,277.265,45.121,1.128,-0.001,37.227,1.0,-8.391
GPQ (SVGP),gpq_agent,{},,,,,,,,30.0,-103.045,95.529,198.378,47.612,-0.01,1770.404,0.0,4.12
GPQ (DGP),gpq_agent,{},,,,,,,,30.0,120.626,130.545,277.088,256.436,0.114,12016.906,0.0,10.52
GPSARSA (DGP),gpsarsa_agent,{},,,,,,,,30.0,-166.519,108.217,-64.578,78.984,0.044,4848.289,0.065,1.511
DQN (MLP),sb_dqn,{},,,,,,,,30.0,-404.085,504.183,-87.962,0.936,0.0,59.5,0.994,-2.509
DQN (Linear),sb_dqn,{},,,,,,,,30.0,-542.129,277.265,45.121,1.128,-0.001,37.227,1.0,-8.391
random,random,{},,,,,,,,30.0,-191.361,112.922,42.451,0.849,0.0,27.123,0.5,0.0
GPQ2 (DGP),gpq_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'thompson_sampling', 'posterior_observation_noise': False, 'num_inducing_points': 128, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': None, 'mean_type': 'constant'}]}",3000.0,,,,,,,30.0,-96.321,66.321,2.202,48.049,-0.166,2293.513,0.0,5.409
DQN (MLP),sb_dqn,"{'policy': 'MlpPolicy', 'learning_rate': 0.00063, 'batch_size': 128, 'buffer_size': 50000, 'learning_starts': 0, 'gamma': 0.99, 'target_update_interval': 250, 'train_freq': 4, 'gradient_steps': -1, 'exploration_fraction': 0.12, 'exploration_final_eps': 0.1, 'policy_kwargs': {'net_arch': [256, 256]}}",,,,,,,,30.0,-404.085,504.183,-87.962,0.936,0.0,59.5,0.994,-2.509
DQN (Linear),sb_dqn,"{'policy': 'MlpPolicy', 'learning_rate': 0.00063, 'batch_size': 128, 'buffer_size': 50000, 'learning_starts': 0, 'gamma': 0.99, 'target_update_interval': 250, 'train_freq': 4, 'gradient_steps': -1, 'exploration_fraction': 0.12, 'exploration_final_eps': 0.1, 'policy_kwargs': {'net_arch': []}}",,,,,,,,30.0,-542.129,277.265,45.121,1.128,-0.001,37.227,1.0,-8.391
GPQEGREEDY (DGP),gpq_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'epsilon_greedy', 'posterior_observation_noise': False, 'num_inducing_points': 128, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': None, 'mean_type': 'constant'}], 'gp_e_greedy_steps': 100000}",,,,,,,,30.0,-181.146,122.646,-81.935,2.742,0.0,91.772,0.183,0.905
GPQUCB (DGP),gpq_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'upper_confidence_bound', 'posterior_observation_noise': False, 'num_inducing_points': 128, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': None, 'mean_type': 'constant'}], 'ucb_beta': 1.5}",,,,,,,,30.0,-267.418,124.076,-89.002,42.568,0.0,1450.312,1.0,-3.529
GPQ (SVGP),gpq_agent,{},,,,,,,,30.0,-103.045,95.529,198.378,47.612,-0.01,1770.404,0.0,4.12
GPQ (DGP),gpq_agent,{},,,,,,,,30.0,120.626,130.545,277.088,256.436,0.114,12016.906,0.0,10.52
GPSARSA (DGP),gpsarsa_agent,{},,,,,,,,30.0,-166.519,108.217,-64.578,78.984,0.044,4848.289,0.065,1.511
DQN (MLP),sb_dqn,{},,,,,,,,30.0,-404.085,504.183,-87.962,0.936,0.0,59.5,0.994,-2.509
DQN (Linear),sb_dqn,{},,,,,,,,30.0,-542.129,277.265,45.121,1.128,-0.001,37.227,1.0,-8.391
GPQ2 (DGP),gpq_agent,{},,,,,,,,30.0,-96.321,66.321,2.202,48.049,-0.166,2293.513,0.0,5.409
GPQEGREEDY (DGP),gpq_agent,{},,,,,,,,30.0,-181.146,122.646,-81.935,2.742,0.0,91.772,0.183,0.905
GPQUCB (DGP),gpq_agent,{},,,,,,,,30.0,-267.418,124.076,-89.002,42.568,0.0,1450.312,1.0,-3.529
random,random,{},,,,,,,,30.0,-191.361,112.922,42.451,0.849,0.0,27.123,0.5,0.0
