agent_id,agent_type,hyperparams,num_episodes (train),avg return train,stdev return train,max return train,execution time (sec) train,VRAM usage (GB) train,Energy usage (J) train,num_episodes (eval),avg return eval,stdev return eval,max return eval,execution time (sec) eval,VRAM usage (GB) eval,Energy usage (J) eval,p_val_return_eval_>,W-statistic_return_eval,p_val_cuml_return_train_>,W-statistic_cuml
random,random,{},3000.0,-181.953,110.021,80.217,620.096,1.824,961.268,30.0,-193.258,104.681,-49.881,0.418,0.0,12.8,0.5,0.0,,
GPQ (SVGP),gpq_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'thompson_sampling', 'posterior_observation_noise': False, 'num_inducing_points': 512, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': None, 'mean_type': 'constant'}]}",3000.0,-110.67,121.799,269.632,9568.53,2.842,645858.019,30.0,-100.116,74.114,168.565,39.413,-0.143,1721.497,0.001,3.12,,
GPQ (DGP),gpq_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'thompson_sampling', 'posterior_observation_noise': False, 'num_inducing_points': 128, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': None, 'mean_type': 'constant'}]}",3000.0,,,,,,,30.0,149.153,103.859,278.042,255.252,-0.197,9259.895,0.0,6.623,,
GPSARSA (DGP),gpsarsa_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'thompson_sampling', 'posterior_observation_noise': False, 'num_inducing_points': 128, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': None, 'mean_type': 'constant'}]}",1.0,-130.665,0.0,-130.665,2.365,0.0,81.412,10.0,-182.864,118.746,-97.907,35.104,0.0,1199.13,0.238,0.712,0.042,1.731
DQN (MLP),sb_dqn,"{'policy': 'MlpPolicy', 'learning_rate': 0.00063, 'batch_size': 128, 'buffer_size': 50000, 'learning_starts': 0, 'gamma': 0.99, 'target_update_interval': 250, 'train_freq': 4, 'gradient_steps': -1, 'exploration_fraction': 0.12, 'exploration_final_eps': 0.1, 'policy_kwargs': {'net_arch': [256, 256]}}",1.0,5.381,0.0,-9999999.0,0.001,0.0,0.0,10.0,-744.227,605.618,-94.182,0.086,0.0,3.118,1.0,-5.352,0.042,1.731
DQN (Linear),sb_dqn,"{'policy': 'MlpPolicy', 'learning_rate': 0.00063, 'batch_size': 128, 'buffer_size': 50000, 'learning_starts': 0, 'gamma': 0.99, 'target_update_interval': 250, 'train_freq': 4, 'gradient_steps': -1, 'exploration_fraction': 0.12, 'exploration_final_eps': 0.1, 'policy_kwargs': {'net_arch': []}}",1.0,-37.907,0.0,-9999999.0,0.002,0.0,0.0,10.0,-383.686,256.844,-56.401,0.088,0.0,2.63,0.999,-3.109,0.042,1.731
GPQ (SVGP),gpq_agent,{},,,,,,,,,,,,,,,,,,
GPQ (DGP),gpq_agent,{},,,,,,,,,,,,,,,,,,
GPSARSA (DGP),gpsarsa_agent,{},1.0,-130.665,0.0,-130.665,2.365,0.0,81.412,10.0,-182.864,118.746,-97.907,35.104,0.0,1199.13,0.238,0.712,0.042,1.731
DQN (MLP),sb_dqn,{},1.0,5.381,0.0,-9999999.0,0.001,0.0,0.0,10.0,-744.227,605.618,-94.182,0.086,0.0,3.118,1.0,-5.352,0.042,1.731
DQN (Linear),sb_dqn,{},1.0,-37.907,0.0,-9999999.0,0.002,0.0,0.0,10.0,-383.686,256.844,-56.401,0.088,0.0,2.63,0.999,-3.109,0.042,1.731
random,random,{},,,,,,,,,,,,,,,,,,
GPQ2 (DGP),gpq_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'thompson_sampling', 'posterior_observation_noise': False, 'num_inducing_points': 128, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': None, 'mean_type': 'constant'}]}",1.0,-116.115,0.0,-116.115,3.065,0.655,81.172,10.0,-189.715,162.988,5.783,16.907,0.0,583.2,0.287,0.562,0.042,1.731
