agent_id,agent_type,hyperparams,num_episodes (train),avg return train,stdev return train,max return train,execution time (sec) train,VRAM usage (GB) train,Energy usage (J) train,num_episodes (eval),avg return eval,stdev return eval,max return eval,execution time (sec) eval,VRAM usage (GB) eval,Energy usage (J) eval,p_val_return_eval_>,W-statistic_return_eval,p_val_cuml_return_train_>,W-statistic_cuml
random,random,{},3000.0,-181.953,110.021,80.217,620.096,1.824,961.268,30.0,-191.069,104.945,-71.855,0.447,0.0,8.393,0.5,0.0,,
GPQ (SVGP),gpq_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'thompson_sampling', 'posterior_observation_noise': False, 'num_inducing_points': 512, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': None, 'mean_type': 'constant'}]}",3000.0,-110.67,121.799,269.632,9568.53,2.842,645858.019,30.0,-99.611,85.709,142.784,39.234,0.0,1165.192,0.0,3.984,,
GPQ (DGP),gpq_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'thompson_sampling', 'posterior_observation_noise': False, 'num_inducing_points': 128, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': None, 'mean_type': 'constant'}]}",1700.0,41.444,165.891,302.735,11553.778,0.21,419248.297,30.0,113.272,130.528,272.006,209.445,0.0,7258.488,0.0,8.697,0.0,56.297
GPSARSA (DGP),gpsarsa_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'thompson_sampling', 'posterior_observation_noise': False, 'num_inducing_points': 128, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': None, 'mean_type': 'constant'}]}",3000.0,49.694,164.583,315.946,59704.943,3.876,3335529.726,30.0,-56.731,188.397,273.286,564.433,0.015,19719.668,0.0,4.527,0.0,58.637
DQN (MLP),sb_dqn,"{'policy': 'MlpPolicy', 'learning_rate': 0.00063, 'batch_size': 128, 'buffer_size': 50000, 'learning_starts': 0, 'gamma': 0.99, 'target_update_interval': 250, 'train_freq': 4, 'gradient_steps': -1, 'exploration_fraction': 0.12, 'exploration_final_eps': 0.1, 'policy_kwargs': {'net_arch': [256, 256]}}",3000.0,76.996,217.088,322.66,505.803,-0.004,12068.742,30.0,-337.027,558.817,308.659,4.435,-0.0,103.295,0.706,-0.541,0.0,66.793
DQN (Linear),sb_dqn,"{'policy': 'MlpPolicy', 'learning_rate': 0.00063, 'batch_size': 128, 'buffer_size': 50000, 'learning_starts': 0, 'gamma': 0.99, 'target_update_interval': 250, 'train_freq': 4, 'gradient_steps': -1, 'exploration_fraction': 0.12, 'exploration_final_eps': 0.1, 'policy_kwargs': {'net_arch': []}}",,,,,,,,30.0,-527.459,306.18,205.784,1.253,0.0,33.369,1.0,-6.078,,
GPQ (SVGP),gpq_agent,{},,,,,,,,30.0,-99.611,85.709,142.784,39.234,0.0,1165.192,0.0,3.984,,
GPQ (DGP),gpq_agent,{},1700.0,41.444,165.891,302.735,11553.778,0.21,419248.297,30.0,113.272,130.528,272.006,209.445,0.0,7258.488,0.0,8.697,0.0,56.297
GPSARSA (DGP),gpsarsa_agent,{},3000.0,49.694,164.583,315.946,59704.943,3.876,3335529.726,30.0,-56.731,188.397,273.286,564.433,0.015,19719.668,0.0,4.527,0.0,58.637
DQN (MLP),sb_dqn,{},3000.0,76.996,217.088,322.66,505.803,-0.004,12068.742,30.0,-337.027,558.817,308.659,4.435,-0.0,103.295,0.706,-0.541,0.0,66.793
