agent_id,agent_type,hyperparams,num_episodes (train),avg return train,stdev return train,execution time (sec) train,VRAM usage (GB) train,Energy usage (J) train,p_val_cuml_return_train_>,W-statistic_cuml,num_episodes (eval),avg return eval,stdev return eval,execution time (sec) eval,VRAM usage (GB) eval,Energy usage (J) eval,p_val_return_eval_>,W-statistic_return_eval
random,random,{},500.0,22.78,12.123,48.854,0.006,18873.756,0.5,0.0,10.0,22.529,11.579,0.005,0.0,0.0,0.5,0.0
gpq_agent_1,gpq_agent,"{'gp_model_str': 'exact_gp', 'discount_factor': 0.9999, 'batch_size': 32, 'replay_buffer_size': 64, 'exploring_starts': 100, 'max_dataset_size': 1500, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'thompson_sampling'}",500.0,23.718,19.824,131.792,12.093,10105.973,0.0,55.005,10.0,29.847,26.457,1.385,0.0,60.219,0.172,0.945
gpq_agent_1,gpq_agent,{},500.0,23.718,19.824,131.792,12.093,10105.973,0.0,55.005,10.0,29.847,26.457,1.385,0.0,60.219,0.172,0.945
random,random,{},500.0,22.78,12.123,48.854,0.006,18873.756,0.5,0.0,10.0,22.529,11.579,0.005,0.0,0.0,0.5,0.0
gpq_agent_1,gpq_agent,{},500.0,23.718,19.824,131.792,12.093,10105.973,0.0,55.005,10.0,29.847,26.457,1.385,0.0,60.219,0.172,0.945
random,random,{},500.0,22.78,12.123,48.854,0.006,18873.756,0.5,0.0,10.0,22.529,11.579,0.005,0.0,0.0,0.5,0.0
gpq_agent_1,gpq_agent,{},500.0,23.718,19.824,131.792,12.093,10105.973,0.0,55.005,10.0,29.847,26.457,1.385,0.0,60.219,0.172,0.945
random,random,{},500.0,22.78,12.123,48.854,0.006,18873.756,0.5,0.0,10.0,22.529,11.579,0.005,0.0,0.0,0.5,0.0
gpq_agent_1,gpq_agent,{},500.0,23.718,19.824,131.792,12.093,10105.973,0.0,55.005,10.0,29.847,26.457,1.385,0.0,60.219,0.172,0.945
random,random,{},500.0,22.78,12.123,48.854,0.006,18873.756,0.5,0.0,10.0,22.529,11.579,0.005,0.0,0.0,0.5,0.0
gpq_agent_1,gpq_agent,{},500.0,23.718,19.824,131.792,12.093,10105.973,0.0,55.005,10.0,29.847,26.457,1.385,0.0,60.219,0.172,0.945
random,random,{},500.0,22.78,12.123,48.854,0.006,18873.756,0.5,0.0,10.0,22.529,11.579,0.005,0.0,0.0,0.5,0.0
gpq_agent_1,gpq_agent,{},500.0,23.718,19.824,131.792,12.093,10105.973,0.0,55.005,10.0,29.847,26.457,1.385,0.0,60.219,0.172,0.945
random,random,{},500.0,22.78,12.123,48.854,0.006,18873.756,0.5,0.0,10.0,22.529,11.579,0.005,0.0,0.0,0.5,0.0
gpq_agent_1,gpq_agent,{},500.0,23.718,19.824,131.792,12.093,10105.973,0.0,55.005,10.0,29.847,26.457,1.385,0.0,60.219,0.172,0.945
random,random,{},500.0,22.78,12.123,48.854,0.006,18873.756,0.5,0.0,10.0,22.529,11.579,0.005,0.0,0.0,0.5,0.0
gpq_agent_1,gpq_agent,{},500.0,23.718,19.824,131.792,12.093,10105.973,0.0,55.005,10.0,29.847,26.457,1.385,0.0,60.219,0.172,0.945
random,random,{},500.0,22.78,12.123,48.854,0.006,18873.756,0.5,0.0,10.0,22.529,11.579,0.005,0.0,0.0,0.5,0.0
gpq_agent_1,gpq_agent,{},500.0,23.718,19.824,131.792,12.093,10105.973,0.0,55.005,10.0,29.847,26.457,1.385,0.0,60.219,0.172,0.945
random,random,{},500.0,22.78,12.123,48.854,0.006,18873.756,0.5,0.0,10.0,22.529,11.579,0.005,0.0,0.0,0.5,0.0
gpq_agent_1,gpq_agent,{},500.0,23.718,19.824,131.792,12.093,10105.973,0.0,55.005,10.0,29.847,26.457,1.385,0.0,60.219,0.172,0.945
random,random,{},500.0,22.78,12.123,48.854,0.006,18873.756,0.5,0.0,10.0,22.529,11.579,0.005,0.0,0.0,0.5,0.0
gpq_agent_1,gpq_agent,{},500.0,23.718,19.824,131.792,12.093,10105.973,0.0,55.005,10.0,29.847,26.457,1.385,0.0,60.219,0.172,0.945
random,random,{},500.0,22.78,12.123,48.854,0.006,18873.756,0.5,0.0,10.0,22.529,11.579,0.005,0.0,0.0,0.5,0.0
gpq_agent_1,gpq_agent,{},500.0,23.718,19.824,131.792,12.093,10105.973,0.0,55.005,10.0,29.847,26.457,1.385,0.0,60.219,0.172,0.945
random,random,{},500.0,22.78,12.123,48.854,0.006,18873.756,0.5,0.0,10.0,22.529,11.579,0.005,0.0,0.0,0.5,0.0
gpq_agent_1,gpq_agent,{},500.0,23.718,19.824,131.792,12.093,10105.973,0.0,55.005,10.0,29.847,26.457,1.385,0.0,60.219,0.172,0.945
random,random,{},500.0,22.78,12.123,48.854,0.006,18873.756,0.5,0.0,10.0,22.529,11.579,0.005,0.0,0.0,0.5,0.0
gpq_agent_1,gpq_agent,{},500.0,23.718,19.824,131.792,12.093,10105.973,0.0,55.005,10.0,29.847,26.457,1.385,0.0,60.219,0.172,0.945
random,random,{},500.0,22.78,12.123,48.854,0.006,18873.756,0.5,0.0,10.0,22.529,11.579,0.005,0.0,0.0,0.5,0.0
gpq_agent_1,gpq_agent,{},500.0,23.718,19.824,131.792,12.093,10105.973,0.0,55.005,10.0,29.847,26.457,1.385,0.0,60.219,0.172,0.945
random,random,{},500.0,22.78,12.123,48.854,0.006,18873.756,0.5,0.0,10.0,22.529,11.579,0.005,0.0,0.0,0.5,0.0
